message_id,token,label
0,✅,
0,Leather,B-PRODUCT
0,comfort,I-PRODUCT
0,Made,o
0,in,o
0,Vietnam,o
0,Master,o
0,Quality,o
0,Only,o
0,in,o
0,our,o
0,Shop,o
0,Price,o
0,3,B-PRICE
0,birr,I-PRICE
0,Size,o
0,#,o
0,40,o
0,",",o
0,41,o
0,",",o
0,42,o
0,",",o
0,43,o
0,FREE,o
0,DELIVERY,o
0,(,o
0,ያሉበት,o
0,ቦታ,o
0,ያለተጨማሪ,o
0,ክፍያ,o
0,እናደርሳለን,o
0,),o
0,ለሱቅና,o
0,ብዛት,o
0,ተረካቢዎች,o
0,ባስተያየት,o
0,0977808897,o
0,አድራሻችን,o
0,-,o
0,ቄራ,B-LOCo
0,ሶፊያ,I-LOCo
0,ሞል,o
0,ሁለተኛ,o
0,ፎቅ,o
0,ሱ,o
0,.,o
0,ቁ,o
0,216,o
1,HOBBY,B-PRODUCT
1,LOBBY,I-PRODUCT
1,3,o
1,in,o
1,1,o
1,Chopper,o
1,and,o
1,Garlic,o
1,Peeler,o
1,#,o
1,ስጋ,o
1,እና,o
1,ሽንኩርት,o
1,በሰከንዶች,o
1,ድቅቅ,o
1,የሚያደርግ,o
1,#,o
1,የነጭ_ሽንኩርት,o
1,የራሱ,o
1,መላጫ,o
1,ያለው,o
1,✔,o
1,️,o
1,Two,o
1,3,o
1,-,       o
1,liter,o
1,jars,o
1,✔,o
1,️,o
1,One,o
1,is,o
1,metal,o
1,and,o
1,the,o
1,other,o
1,is,o
1,thick,o
1,glass,o
1,.,o
1,✔,o
1,️,o
1,With,o
1,4,o
1,blades,o
1,and,o
1,2,o
1,blades,o
1,grinder,o
1,Meat,o
1,",",o
1,gizzards,o
1,",",o
1,vegetables,o
1,",",o
1,onions,o
1,",",o
1,and,o
1,garlic,o
1,ground,o
1,into,o
1,it,o
1,.,o
1,Dried,o
1,peeled,o
1,garlic,o
1,cloves,o
1,with,o
1,a,o
1,peeler,o
1,An,o
1,additional,o
1,switch,o
1,with,o
1,4,o
1,blades,o
1,✔,o
1,️,o
1,3,o
1,-,o
1,press,o
1,grinder,o
1,ዋጋ,o
1,:,o
1,-,o
1,3900,B-PRICE
1,ብር,I-PRICE
1,ውስን,o
1,ፍሬ,o
1,ነው,o
1,ያለን,o
1,/,
1,Limited,o
1,Stock,o
1,አድራሻ,o
1,ቁ,o
1,.,
1,1,o
1,መገናኛ,B-LOC
1,ታሜ,o
1,ጋስ,o
1,ህንፃ,o
1,ጎን,o
1,ስሪ,B-LOC
1,ኤም,I-LOC
1,ሲቲ,o
1,ሞል,o
1,ሁለተኛ,o
1,ፎቅ,o
1,ቢሮ,o
1,ቁ,o
1,.,o
1,SL,o
1,-,o
1,05A,o
1,(,o
1,ከ,o
1,ሊፍቱ,o
1,ፊት,o
1,ለ,o
1,ፊት,o
1,),o
1,ቁ,o
1,.,o
1,2,o
1,ለቡ,B-LOC
1,መዳህኒዓለም,o
1,ቤተ,o
1,/,o
1,ክርስቲያን,o
1,100ሜ,o
1,ወደ,o
1,ሙዚቃ,o
1,ቤት,o
1,ከፍ,o
1,ብሎ,o
1,#,o
1,ዛም_ሞል,I-LOC
1,2ኛ,o
1,ፎቅ,0o
1,ቢሮ,o
1,.,o
1,ቁ,o
1,214,o
1,0909522840,o
1,0923350054,o
1,ለቡ,o
1,ቅርንጫፍ0973611819,o
1,በTelegram,o
1,ለማዘዝ,o
1,⤵,o
1,️,o
1,ይጠቀሙ,o
1,ለተጨማሪ,o
1,ማብራሪያ,o
1,የቴሌግራም,o
1,ገፃችን,o
1,⤵,o
1,️,o
2,Portable,B-PRODUCT
2,Sealing,I-PRODUCT
2,Machine,o
2,Button,o
2,Switch,o
2,➡,o
2,️,o
2,east,o
2,to,o
2,use,o
2,⚠,o
2,️,o
2,ይዞ,o
2,ለመንቀሳቀስ,o
2,ምቹ,o
2,ዋጋ,o
2,፦,o
2,*,o
2,*,o
2,600,B-PRICE
2,ብር,B-PRICE
2,*,o
2,*,o
2,ውስን,o
2,ፍሬ,o
2,ነው,o
2,የቀረው,o
2,❌,o
2,❌,o
2,Telegram,o
2,-,o
2,t,o
2,.,o
2,me,o
2,/,o
2,qnashcom,o
2,⚡,o
2,️,o
2,ጥራት,o
2,ዋስትና,o
2,ቅናሽ,o
2,አድራሻ,o
2,፦,o
2,ቁጥር,o
2,1,o
2,:,o
2,-,o
2,*,o
2,*,o
2,መገናኛ,B-LOC
2,ዘፍመሽ,I-LOC
2,ግራንድ,o
2,ሞል,o
2,3,o
2,ተኛ,o
2,ፎቅ,o
2,ቁጥር,o
2,329,o
2,*,o
2,*,o
2,ቁጥር,o
2,2,o
2,:,o
2,-,o
2,*,o
2,*,o
2,ጀሞ,B-LOC
2,1,o
2,ከለላ,I-LOC
2,ህንፃ,o
2,ግራውንድ,o
2,ለይ,o
2,G07,o
2,*,o
2,*,o
2,❌,o
2,❌,o
2,*,o
2,*,o
2,ማሳሰብያ,o
2,*,o
2,*,o
2,:,o
2,ሱቃችን,o
2,ሲመጡ,o
2,ትክክለኛ,o
2,የኛ,o
2,ሱቅ,o
2,መሆኑ,o
2,ያረጋግጡ,o
2,የራሳችን,o
2,ሎጎ,o
2,መኖሩን,o
2,እና,o
2,329,o
2,/,
2,G07,o
2,መሆኑ,o
2,ያረጋግጡ,o
2,!,o
2,ስልክ,o
2,:,o
2,0946966440,o
2,0992606060,o
2,0905464599,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,2,o
3,in1,o
3,Electric,o
3,Foot,o
3,grinder,o
3,&,o
3,hair,o
3,remover,o
3,የተረከዝ,B-PRODUCT
3,ሞረድ,I-PRODUCT
3,እና,o
3,የፀጉር,o
3,ማንሻ,o
3,በ,o
3,ቻርጅ,o
3,የሚሰራ,o
3,ዋጋ,o
3,፦,o
3,1000,B-PRICE
3,ብር,I-PRICE
3,♦,o
3,️,o
3,ውስን,o
3,ፍሬ,o
3,ነው,o
3,ያለው,o
3,አድራሻ,o
3,♦,o
3,#,o
3,መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,B-LOC
3,ቢሮ,o
3,ቁ,o
3,.,o
3,S05,I-LOC
3,/,o
3,S06,o
3,0902660722,o
3,0928460606,o
3,በTelegram,o
3,ለማዘዝ,o
3,⤵,o
3,️,o
3,ይጠቀሙ,o
3,ለተጨማሪ,o
3,ማብራሪያ,o
3,የቴሌግራም,o
3,ገፃችን,o
3,⤵,o
3,️,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
3,.,o
4,100,o
4,Pieces,o
4,Disposable,o
